year_month,dominant_topic,count
2023-10,0,98817
2023-10,1,25614
2023-10,2,114132
2023-10,3,68941
2023-10,4,100698
2023-10,5,37843
2023-10,6,189051
2023-10,7,117777
2023-10,8,104829
2023-10,9,23881
2023-11,0,112697
2023-11,1,26903
2023-11,2,119517
2023-11,3,68889
2023-11,4,105675
2023-11,5,37748
2023-11,6,204272
2023-11,7,115495
2023-11,8,99757
2023-11,9,25815
2023-12,0,98053
2023-12,1,24360
2023-12,2,129017
2023-12,3,67280
2023-12,4,101421
2023-12,5,32534
2023-12,6,180481
2023-12,7,109626
2023-12,8,92630
2023-12,9,21127
2023-6,0,90872
2023-6,1,30771
2023-6,2,92035
2023-6,3,56560
2023-6,4,76183
2023-6,5,51834
2023-6,6,197248
2023-6,7,97982
2023-6,8,80032
2023-6,9,21644
2023-7,0,88813
2023-7,1,26690
2023-7,2,100100
2023-7,3,56355
2023-7,4,82978
2023-7,5,32132
2023-7,6,172277
2023-7,7,110145
2023-7,8,91263
2023-7,9,20887
2023-8,0,92624
2023-8,1,26566
2023-8,2,110943
2023-8,3,62176
2023-8,4,89137
2023-8,5,29354
2023-8,6,182480
2023-8,7,118100
2023-8,8,107459
2023-8,9,20878
2023-9,0,94674
2023-9,1,23636
2023-9,2,114548
2023-9,3,63033
2023-9,4,94071
2023-9,5,35433
2023-9,6,182143
2023-9,7,119655
2023-9,8,109734
2023-9,9,18324
2024-1,0,107226
2024-1,1,27479
2024-1,2,130105
2024-1,3,76546
2024-1,4,108183
2024-1,5,35349
2024-1,6,207844
2024-1,7,123299
2024-1,8,109404
2024-1,9,22129
2024-2,0,111832
2024-2,1,27328
2024-2,2,136613
2024-2,3,79506
2024-2,4,101518
2024-2,5,33843
2024-2,6,210020
2024-2,7,120072
2024-2,8,107316
2024-2,9,21223
2024-3,0,128276
2024-3,1,28698
2024-3,2,136359
2024-3,3,80337
2024-3,4,104615
2024-3,5,36725
2024-3,6,242153
2024-3,7,125515
2024-3,8,111135
2024-3,9,22741
2024-4,0,119847
2024-4,1,26560
2024-4,2,134279
2024-4,3,79172
2024-4,4,102375
2024-4,5,32577
2024-4,6,222037
2024-4,7,119875
2024-4,8,103057
2024-4,9,21101
2024-5,0,123997
2024-5,1,27043
2024-5,2,145426
2024-5,3,76473
2024-5,4,110309
2024-5,5,38227
2024-5,6,239216
2024-5,7,126342
2024-5,8,110382
2024-5,9,22835
2024-6,0,109024
2024-6,1,25616
2024-6,2,120433
2024-6,3,68195
2024-6,4,102886
2024-6,5,30261
2024-6,6,190372
2024-6,7,117620
2024-6,8,93892
2024-6,9,20191
2024-7,0,102001
2024-7,1,24727
2024-7,2,118546
2024-7,3,64619
2024-7,4,95189
2024-7,5,27661
2024-7,6,189486
2024-7,7,115176
2024-7,8,93833
2024-7,9,18274
